Company name,Fyers symbol,BSE Code,Symbol
ABB INDIA LIMITED,BSE:ABB-A,500002,ABB
AEGIS LOGISTICS LTD.,BSE:AEGISLOG-A,500003,AEGISLOG
Amara Raja Energy & Mobility L,BSE:ARE&M-A,500008,ARE&M
AMBALAL SARABHAI ENTERPRISES L,BSE:AMBALALSA-X,500009,AMBALALSA
ANDHRA PETROCHEMICALS LTD.,BSE:ANDHRAPET-X,500012,ANDHRAPET
ANSAL PROPERTIES & INFRASTRUCT,BSE:ANSALAPI-Z,500013,ANSALAPI
UTIQUE ENTERPRISES LIMITED,BSE:UTIQUE-X,500014,UTIQUE
ARUNA HOTELS LTD.,BSE:ARUNAHTEL-XT,500016,ARUNAHTEL
BOMBAY DYEING & MFG.CO.LTD.,BSE:BOMDYEING-A,500020,BOMDYEING
ASIAN HOTELS (NORTH) LIMITED,BSE:ASIANHOTNR-T,500023,ASIANHOTNR
ATUL LTD.,BSE:ATUL-A,500027,ATUL
ATV PROJECTS INDIA LTD.,BSE:ATVPR-XT,500028,ATVPR
BAJAJ ELECTRICALS LTD.,BSE:BAJAJELEC-A,500031,BAJAJELEC
BAJAJ HINDUSTHAN SUGAR LIMITED,BSE:BAJAJHIND-A,500032,BAJAJHIND
FORCE MOTORS LTD.,BSE:FORCEMOT-A,500033,FORCEMOT
BAJAJ FINANCE LIMITED,BSE:BAJFINANCE-A,500034,BAJFINANCE
BALRAMPUR CHINI MILLS LTD.,BSE:BALRAMCHIN-A,500038,BALRAMCHIN
BANCO PRODUCTS (INDIA) LTD.,BSE:BANCOINDIA-B,500039,BANCOINDIA
CENTURY TEXTILES & INDUSTRIES,BSE:CENTURYTEX-A,500040,CENTURYTEX
BANNARI AMMAN SUGARS LTD.,BSE:BANARISUG-B,500041,BANARISUG
BASF INDIA LTD.,BSE:BASF-A,500042,BASF
BATA INDIA LTD.,BSE:BATAINDIA-A,500043,BATAINDIA
BEML LTD.,BSE:BEML-A,500048,BEML
BHARAT ELECTRONICS LTD.,BSE:BEL-A,500049,BEL
BHANSALI ENGINEERING POLYMERS,BSE:BEPL-B,500052,BEPL
BIHAR SPONGE IRON LTD.,BSE:BIHSPONG-XT,500058,BIHSPONG
BINANI INDUSTRIES LTD.,BSE:BINANIIND-T,500059,BINANIIND
Birla Cable Limited,BSE:BIRLACABLE-B,500060,BIRLACABLE
BLUE STAR LTD.,BSE:BLUESTARCO-A,500067,BLUESTARCO
DISA INDIA LTD.,BSE:DISAQ-B,500068,DISAQ
QUEST CAPITAL MARKETS LIMITED,BSE:QUESTCAP-X,500069,QUESTCAP
BPL LTD.,BSE:BPL-B,500074,BPL
ORIENTAL AROMATICS LIMITED,BSE:OAL-B,500078,OAL
CENTURY EXTRUSIONS LTD.,BSE:CENTEXT-B,500083,CENTEXT
CESC LTD.,BSE:CESC-A,500084,CESC
CHAMBAL FERTILISERS & CHEMICAL,BSE:CHAMBLFERT-A,500085,CHAMBLFERT
EXIDE INDUSTRIES LTD.,BSE:EXIDEIND-A,500086,EXIDEIND
CIPLA LTD.,BSE:CIPLA-A,500087,CIPLA
DIC INDIA LTD.,BSE:DICIND-B,500089,DICIND
CRISIL LTD.,BSE:CRISIL-A,500092,CRISIL
CG Power and Industrial Soluti,BSE:CGPOWER-A,500093,CGPOWER
DABUR INDIA LTD.,BSE:DABUR-A,500096,DABUR
DALMIA BHARAT SUGAR AND INDUST,BSE:DALMIASUG-B,500097,DALMIASUG
ARVIND LTD.,BSE:ARVIND-A,500101,ARVIND
BHARAT HEAVY ELECTRICALS LTD.,BSE:BHEL-A,500103,BHEL
HINDUSTAN PETROLEUM CORPORATIO,BSE:HINDPETRO-A,500104,HINDPETRO
IFCI LTD.,BSE:IFCI-A,500106,IFCI
MAHANAGAR TELEPHONE NIGAM LTD.,BSE:MTNL-B,500108,MTNL
MANGALORE REFINERY & PETROCHEM,BSE:MRPL-A,500109,MRPL
CHENNAI PETROLEUM CORPORATION,BSE:CHENNPETRO-A,500110,CHENNPETRO
STATE BANK OF INDIA,BSE:SBIN-A,500112,SBIN
STEEL AUTHORITY OF INDIA LTD.,BSE:SAIL-A,500113,SAIL
TITAN COMPANY LIMITED,BSE:TITAN-A,500114,TITAN
IDBI BANK LTD.,BSE:IDBI-A,500116,IDBI
DCW LTD.,BSE:DCW-B,500117,DCW
DHAMPUR SUGAR MILLS LTD.,BSE:DHAMPURSUG-A,500119,DHAMPURSUG
DIAMINES & CHEMICALS LTD.,BSE:DIAMINESQ-B,500120,DIAMINESQ
ELANTAS BECK INDIA LTD.,BSE:ELANTAS-B,500123,ELANTAS
DR.REDDYS LABORATORIES LTD.,BSE:DRREDDY-A,500124,DRREDDY
E.I.D.-PARRY (INDIA) LTD.,BSE:EIDPARRY-A,500125,EIDPARRY
PROCTER & GAMBLE HEALTH LIMITE,BSE:PGHL-A,500126,PGHL
ELECTROSTEEL CASTINGS LTD.,BSE:ELECTCAST-A,500128,ELECTCAST
ESAB INDIA LTD.,BSE:ESABINDIA-A,500133,ESABINDIA
EPL LIMITED,BSE:EPL-A,500135,EPL
ESTER INDUSTRIES LTD.,BSE:ESTER-B,500136,ESTER
FGP LTD.,BSE:FGP-X,500142,FGP
PH CAPITAL LTD.,BSE:PHCAP-X,500143,PHCAP
FINOLEX CABLES LTD.,BSE:FINCABLES-A,500144,FINCABLES
JOHN COCKERILL INDIA LIMITED,BSE:COCKERILL-B,500147,COCKERILL
UFLEX LTD.,BSE:UFLEX-A,500148,UFLEX
FOSECO INDIA LTD.,BSE:FOSECOIND-B,500150,FOSECOIND
GOLDEN TOBACCO LTD.,BSE:GOLDENTOBC-Z,500151,GOLDENTOBC
GANESH BENZOPLAST LTD.,BSE:GANESHBE-B,500153,GANESHBE
METROGLOBAL LIMITED,BSE:METROGLOBL-X,500159,METROGLOBL
GTL LTD.,BSE:GTL-T,500160,GTL
GODFREY PHILLIPS INDIA LTD.,BSE:GODFRYPHLP-A,500163,GODFRYPHLP
GODREJ INDUSTRIES LTD.,BSE:GODREJIND-A,500164,GODREJIND
KANSAI NEROLAC PAINTS LTD.,BSE:KANSAINER-A,500165,KANSAINER
GOODRICKE GROUP LTD.,BSE:GOODRICKE-X,500166,GOODRICKE
GOODYEAR INDIA LTD.,BSE:GOODYEAR-B,500168,GOODYEAR
GTN INDUSTRIES LTD.,BSE:GTNINDS-XT,500170,GTNINDS
GHCL LTD.,BSE:GHCL-A,500171,GHCL
GFL LIMITED,BSE:GFLLIMITED-B,500173,GFLLIMITED
GUJARAT LEASE FINANCING LTD.,BSE:GLFL-T,500174,GLFL
HCL INFOSYSTEMS LTD.,BSE:HCL-INSYS-T,500179,HCL-INSYS
HDFC BANK LTD.,BSE:HDFCBANK-A,500180,HDFCBANK
HERO MOTOCORP LTD.,BSE:HEROMOTOCO-A,500182,HEROMOTOCO
HFCL LIMITED,BSE:HFCL-A,500183,HFCL
Himadri Speciality Chemical Lt,BSE:HSCL-A,500184,HSCL
HINDUSTAN CONSTRUCTION CO.LTD.,BSE:HCC-A,500185,HCC
HINDUSTAN OIL EXPLORATION CO.L,BSE:HINDOILEXP-A,500186,HINDOILEXP
AGI GREENPAC LIMITED,BSE:AGI-A,500187,AGI
HINDUSTAN ZINC LTD.,BSE:HINDZINC-A,500188,HINDZINC
NDL Ventures Limited,BSE:NDLVENTURE-B,500189,NDLVENTURE
HMT LTD.,BSE:HMT-Z,500191,HMT
PRAG BOSIMI SYNTHETICS LTD.,BSE:PRAGBOS-X,500192,PRAGBOS
HLV LIMITED,BSE:HLVLTD-T,500193,HLVLTD
I G PETROCHEMICALS LTD.,BSE:IGPL-B,500199,IGPL
INDIA GLYCOLS LTD.,BSE:INDIAGLYCO-B,500201,INDIAGLYCO
INDIA LEASE DEVELOPMENT LTD.,BSE:INDLEASE-X,500202,INDLEASE
MARGO FINANCE LIMITED,BSE:MARGOFIN-X,500206,MARGOFIN
INDO RAMA SYNTHETICS (INDIA) L,BSE:INDORAMA-B,500207,INDORAMA
INFOSYS LTD.,BSE:INFY-A,500209,INFY
INGERSOLL-RAND (INDIA) LTD.,BSE:INGERRAND-A,500210,INGERRAND
INTERNATIONAL TRAVEL HOUSE LTD,BSE:ITHL-X,500213,ITHL
ION EXCHANGE (INDIA) LTD.,BSE:IONEXCHANG-A,500214,IONEXCHANG
AGRO TECH FOODS LTD.,BSE:ATFL-B,500215,ATFL
JAIN IRRIGATION SYSTEMS LTD.,BSE:JISLJALEQS-A,500219,JISLJALEQS
JASCH INDUSTRIES LTD.,BSE:JASCH-XT,500220,JASCH
JCT LTD.,BSE:JCTLTD-Z,500223,JCTLTD
JINDAL POLY FILMS LTD.,BSE:JINDALPOLY-B,500227,JINDALPOLY
JSW STEEL LTD.,BSE:JSWSTEEL-A,500228,JSWSTEEL
UMANG DAIRIES LTD.,BSE:UMANGDAIRY-B,500231,UMANGDAIRY
KAJARIA CERAMICS LTD.,BSE:KAJARIACER-A,500233,KAJARIACER
KAKATIYA CEMENT SUGAR & INDUST,BSE:KAKATCEM-B,500234,KAKATCEM
KALYANI STEELS LTD.,BSE:KSL-B,500235,KSL
KANEL INDUSTRIES LIMITED,BSE:KANELIND-XT,500236,KANELIND
WHIRLPOOL OF INDIA LTD.,BSE:WHIRLPOOL-A,500238,WHIRLPOOL
KG DENIM LTD.,BSE:KGDENIM-X,500239,KGDENIM
KINETIC ENGINEERING LTD.,BSE:KINETICENG-X,500240,KINETICENG
KIRLOSKAR BROTHERS LTD.,BSE:KIRLOSBROS-A,500241,KIRLOSBROS
KIRLOSKAR INDUSTRIES LTD,BSE:KIRLOSIND-B,500243,KIRLOSIND
KIRLOSKAR FERROUS INDUSTRIES L,BSE:KIRLFER-A,500245,KIRLFER
ENVAIR ELECTRODYNE LTD.,BSE:ENVAIREL-XT,500246,ENVAIREL
KOTAK MAHINDRA BANK LTD.,BSE:KOTAKBANK-A,500247,KOTAKBANK
KRISHNA FILAMENT INDUSTRIES LI,BSE:KRIFILIND-XT,500248,KRIFILIND
KSB LIMITED,BSE:KSB-A,500249,KSB
L.G.BALAKRISHNAN & BROS.LTD.,BSE:LGBBROSLTD-A,500250,LGBBROSLTD
TRENT LTD.,BSE:TRENT-A,500251,TRENT
LAKSHMI MACHINE WORKS LTD.,BSE:LAXMIMACH-A,500252,LAXMIMACH
LIC HOUSING FINANCE LTD.,BSE:LICHSGFIN-A,500253,LICHSGFIN
LUPIN LTD.,BSE:LUPIN-A,500257,LUPIN
LYKA LABS LTD.,BSE:LYKALABS-B,500259,LYKALABS
THE RAMCO CEMENTS LIMITED,BSE:RAMCOCEM-A,500260,RAMCOCEM
HYBRID FINANCIAL SERVICES LIMI,BSE:HYBRIDFIN-B,500262,HYBRIDFIN
MAFATLAL INDUSTRIES LTD.,BSE:MAFATIND-X,500264,MAFATIND
MAHARASHTRA SEAMLESS LTD.,BSE:MAHSEAMLES-A,500265,MAHSEAMLES
MAHARASHTRA SCOOTERS LTD.,BSE:MAHSCOOTER-A,500266,MAHSCOOTER
MAJESTIC AUTO LTD.,BSE:MAJESAUT-X,500267,MAJESAUT
MANALI PETROCHEMICAL LTD.,BSE:MANALIPETC-B,500268,MANALIPETC
BARODA RAYON CORPORATION LTD.,BSE:BARODARY-X,500270,BARODARY
Max Financial Services Limited,BSE:MFSL-A,500271,MFSL
MID INDIA INDUSTRIES LTD.,BSE:MIDINDIA-XT,500277,MIDINDIA
MIRC ELECTRONICS LTD.,BSE:MIRCELECTR-B,500279,MIRCELECTR
CENTURY ENKA LTD.,BSE:CENTENKA-B,500280,CENTENKA
MODERN THREADS (INDIA) LTD.,BSE:MODTHREAD-T,500282,MODTHREAD
